;reasons_translation_sentimentCategory;reasons_translation_sadnessCategory;reasons_translation_joyCategory;reasons_translation_fearCategory;reasons_translation_disgustCategory;reasons_translation_angerCategory;emotions_translation_sentimentCategory;emotions_translation_sadnessCategory;emotions_translation_joyCategory;emotions_translation_fearCategory;emotions_translation_disgustCategory;emotions_translation_angerCategory;strengths_translation_sentimentCategory;strengths_translation_sadnessCategory;strengths_translation_joyCategory;strengths_translation_fearCategory;strengths_translation_disgustCategory;strengths_translation_angerCategory;utilization_translation_sentimentCategory;utilization_translation_sadnessCategory;utilization_translation_joyCategory;utilization_translation_fearCategory;utilization_translation_disgustCategory;utilization_translation_angerCategory;story_translation_sentimentCategory;story_translation_sadnessCategory;story_translation_joyCategory;story_translation_fearCategory;story_translation_disgustCategory;story_translation_angerCategory
21;0,5554;0,0048;0,1687;0,213;0,1316;0,2652;0,9478;0,1687;0,6465;0,2652;0,0572;0,0767;0,2652;0,9478;0,2652;0,7432;0,1687;0,5554;0,213;0,0572;0,0572;0,0572;0,1687;0,0572;0,6465;0,0;0,0005;0,0;0,0;0,0
22;0,1303;0,0003;0,1303;0,3927;0,0069;0,3927;0,9476;0,6454;0,6454;0,8437;0,3927;0,324;0,8437;0,6454;0,9476;0,1001;0,5541;0,4695;0,7424;0,1672;0,324;0,1303;0,0564;0,0564;0,6454;0,0;0,0046;0,0;0,0;0,0
23;0,8958;0,8958;0,8958;0,6002;0,5123;0,7933;0,1157;0,8958;0,5123;0,2381;0,0883;0,1899;0,6002;0,8958;0,2381;0,2381;0,0358;0,5123;0,2381;0,0257;0,0358;0,0257;0,6942;0,0664;0,5123;0,0;0,2944;0,0002;0,0001;0,0
24;0,1219;0,0727;0,0053;0,5778;0,4213;0,0006;0,0947;0,2398;0,0947;0,1219;0,1938;0,1938;0,0947;0,0036;0,0077;0,293;0,2398;0,0947;0,0016;0,1938;0,0077;0,9507;0,6651;0,1938;0,0024;0,0077;0,8528;0,4963;0,0001;0,0002
25;0,4053;0,949;0,6541;0,7489;0,8477;0,5645;0,1787;0,8477;0,3369;0,5645;0,1787;0,3369;0,2764;0,7489;0,8477;0,949;0,0345;0,0632;0,8477;0,1408;0,047;0,0086;0,2764;0,4053;0,6541;0,0007;0,6541;0,0001;0,0002;0,0004
26;0,8447;0,9479;0,4726;0,7441;0,5568;0,0156;0,1702;0,6477;0,8447;0,9479;0,3273;0,6477;0,5568;0,5568;0,5568;0,396;0,1702;0,2669;0,9479;0,6477;0,5568;0,2669;0,3273;0,9479;0,9479;0,8447;0,0777;0,0581;0,8447;0,5568
27;0,6048;0,0138;0,5177;0,3651;0,3651;0,2442;0,8971;0,6048;0,8971;0,8971;0,698;0,4376;0,3006;0,5177;0,8971;0,4376;0,0521;1,0;0,8971;0,1956;0,0699;0,0197;0,1956;0,0924;0,698;0,0;0,0096;0,0;0,0;0,0
28;0,2833;0,0603;0,5917;0,6875;0,5025;0,2274;0,2833;0,7886;0,2833;0,421;0,5025;0,1798;0,5917;0,6875;0,6875;0,14;0,8933;0,7886;0,5025;0,1074;0,0441;0,0603;0,1074;0,2833;0,6875;0,0156;0,2833;0,0;0,0;0,0008
29;0,3645;0,0043;0,195;0,195;0,0518;0,437;0,5172;0,195;0,5172;0,5172;0,5172;0,154;0,5172;0,437;0,5172;0,3;0,154;0,437;0,1199;0,092;0,038;0,0028;0,038;0,0043;0,3;0,0;0,0095;0,0;0,0;0,0
30;0,3702;0,3058;0,798;0,6087;0,5222;0,2492;0,0048;0,8982;0,0071;0,0547;0,0729;0,2492;0,0729;0,6087;0,0959;0,5222;0,701;0,4425;0,3702;0,4425;0,0729;0,4425;0,701;0,701;0,3702;0,798;0,2492;0,159;0,701;0,6087
31;0,3035;0,0395;0,8977;0,247;0,6997;0,607;0,4403;0,607;0,1983;0,8977;0,607;0,8977;0,607;0,4403;0,797;0,607;0,3035;0,6997;0,607;0,3035;0,6997;0,607;0,797;0,6997;0,607;0,5202;0,8977;0,1226;0,6997;0,8977
32;0,1937;0,9507;0,4961;0,7571;0,6649;0,9507;0,4961;0,8528;0,8528;0,3533;0,5776;0,6649;0,4961;0,7571;0,5776;0,8528;0,2928;0,6649;0,7571;0,2396;0,9507;0,0726;0,9507;0,4212;0,9507;0,0726;0,0726;0,0111;0,0549;0,6649
33;0,1648;0,0036;0,077;0,1648;0,077;0,7049;0,3768;0,0581;0,0432;0,1006;0,1006;0,0115;0,2558;0,1296;0,1006;0,6136;0,0581;0,8996;0,2067;0,3768;0,0317;0,0432;0,1648;0,0581;0,4488;0,0;0,001;0,0;0,0;0,0
34;0,369;0,0208;0,3046;0,6078;0,7975;0,1234;0,8979;0,7003;0,3046;0,1993;0,0722;0,1579;0,7975;0,8979;0,8979;1,0;0,0722;0,6078;0,8979;0,1993;0,4413;0,1993;0,2481;0,2481;0,7975;0,0;0,0003;0,0;0,0;0,0
35;0,949;0,406;0,5652;0,2772;0,3377;0,6546;0,0251;0,949;0,482;0,848;0,848;0,2245;0,1414;0,848;0,5652;0,2772;0,848;0,1414;0,1414;0,1414;0,0636;0,6546;0,3377;0,1794;0,2772;0,0842;0,7493;0,1099;0,0007;0,0348
36;0,03;0,588;0,4982;0,4164;0,1361;0,8923;0,0577;0,0781;0,0067;0,1039;0,4164;0,1039;0,7865;0,8923;0,4982;0,7865;0,4164;0,4982;0,4164;0,4164;0,343;0,6845;0,0067;0,8923;0,343;0,2784;0,588;0,2784;0,588;0,2784
37;0,7049;0,0115;1,0;0,077;0,077;0,5279;0,077;0,2067;0,0317;0,1006;0,1006;0,3125;0,0317;0,8996;0,077;0,2067;0,0163;0,5279;0,8007;0,7049;0,8996;0,3769;0,8996;0,3769;0,3769;0,0036;0,0115;0,0163;0,0001;0,0004
38;0,1201;0,7776;0,8877;0,1576;0,6718;0,1201;1,0;1,0;0,0237;0,6718;0,5721;0,3967;0,3967;0,8877;0,8877;0,48;0,3967;0,6718;0,7776;0,7776;0,8877;0,6718;0,5721;0,2035;0,3227;0,48;0,3227;0,3967;0,0162;0,0072
39;0,0537;0,0387;0,0009;0,1684;0,335;0,0274;1,0;0,1684;0,8905;0,0537;0,4911;0,0537;0,4911;0,1684;0,0274;0,2706;0,2151;0,0983;0,4911;0,783;0,783;0,8905;0,335;0,335;1,0;0,0387;0,0732;0,2151;0,0009;0,0983
40;0,2951;0,1162;0,7936;0,7936;0,6007;0,6007;0,3597;0,2389;0,1906;0,4324;0,2951;0,6007;0,1499;0,2389;0,513;0,4324;0,8959;0,513;0,6007;0,4324;0,513;0,1162;0,2389;0,513;0,513;0,6947;0,4324;0,2389;0,6947;0,7936
41;0,8048;0,4584;0,9017;0,7109;0,3228;0,6211;0,387;0,5367;0,2164;0,1739;0,387;0,1739;0,8048;0,3228;1,0;0,3228;0,9017;0,5367;1,0;0,387;0,387;0,266;0,0834;0,387;0,8048;0,266;0,7109;0,266;0,0636;0,0355
42;0,6964;0,0684;0,6028;0,7947;0,2979;1,0;0,1183;0,2416;0,3625;0,7947;0,5154;0,4351;0,6028;0,4351;0,6028;0,1932;1,0;0,4351;0,0906;0,1183;0,6964;0,7947;0,3625;0,2979;0,1183;0,0007;0,4351;0,0508;0,0;0,0018
43;0,9482;0,1723;0,5587;0,7453;0,4748;0,5587;0,1041;0,8455;0,0594;0,7453;0,6493;0,1723;0,1723;0,2169;0,2693;0,4748;0,0594;0,1349;0,9482;0,7453;0,6493;0,2169;0,8455;0,8455;0,7453;0,4748;0,7453;0,0438;0,6493;0,9482
44;0,4812;0,0631;0,7489;0,2763;0,3368;0,0249;0,4052;0,1407;0,1786;0,654;0,1407;0,949;0,2763;0,949;0,1092;0,949;0,2763;0,7489;0,0177;0,8477;0,0086;0,2763;0,1786;0,1786;0,0631;0,0001;0,0631;0,0003;0,0;0,0
45;0,2455;0,0005;0,0141;0,1214;0,0388;0,5189;0,302;0,6059;0,6988;0,6988;0,6059;0,1557;0,0201;0,0934;0,0707;0,8974;0,1214;0,3665;0,7964;0,5189;0,4389;0,0934;0,1557;0,2455;0,4389;0,0;0,0003;0,0003;0,0;0,0
46;0,6376;0,84;0,0508;0,9464;0,1215;0,3816;0,84;0,7365;0,9464;0,3816;0,7365;0,3127;0,6376;0,7365;0,3127;0,84;0,3816;0,84;0,3816;0,0086;0,0057;0,0508;0,0262;0,2009;0,6376;0,0;0,2525;0,0024;0,0;0,0001
47;0,3768;0,0581;0,8996;0,6136;0,2558;0,2558;0,8996;0,5279;0,8996;0,8007;0,6136;0,1296;0,8007;0,4488;0,6136;0,8996;0,1648;1,0;0,4488;0,1006;0,3768;0,1648;0,6136;0,3125;0,6136;0,0;0,0079;0,0;0,0;0,0001
48;0,4382;0,0066;0,0929;0,5183;0,0703;0,3658;0,3013;0,6053;1,0;0,6983;0,3013;0,0385;0,3013;0,6983;0,0703;0,7961;0,0929;0,1551;0,6983;0,6053;0,6053;0,2448;0,7961;0,5183;0,4382;0,0002;0,0001;0,0008;0,0;0,0
49;0,4488;0,7049;0,8996;0,8007;0,8996;0,2067;0,2558;0,8996;0,6136;0,8996;0,5279;0,4488;0,7049;0,4488;0,8996;0,3768;0,8996;0,2558;0,4488;0,7049;0,6136;0,0163;0,5279;0,8996;0,7049;0,2558;0,3768;0,0115;0,1296;0,7049
50;0,3827;0,1048;1,0;0,4544;0,3184;0,8031;0,533;0,3827;0,8031;0,2617;0,9008;0,17;0,0612;0,3184;0,4544;0,0612;0,0027;0,0458;0,7084;0,2123;0,17;0,4544;0,0458;0,4544;0,2617;1,0;0,1344;0,618;0,618;0,9008
51;0,3266;0,1108;0,9024;0,1108;0,0197;0,0496;0,1773;0,9024;0,3266;0,713;0,3266;0,5398;0,141;0,0859;0,4619;0,9024;0,713;0,3266;0,6238;0,9024;0,3266;0,141;0,0197;0,0141;0,9024;0,3266;0,1108;0,1773;0,0069;0,0021
52;0,4056;0,8478;0,6543;0,949;0,8478;0,6543;0,3372;0,6543;0,4056;0,8478;0,7491;0,949;0,2241;0,4816;0,6543;0,141;0,0839;0,6543;0,141;0,1096;0,949;0,4816;0,179;0,4056;0,1096;0,8478;0,0472;0,6543;0,3372;0,949
53;0,8443;0,3262;0,9478;0,6469;0,8443;0,7435;0,3262;0,9478;0,5558;0,7435;0,2658;0,2135;0,0013;0,2135;0,0575;0,1321;0,2135;0,0218;0,7435;0,2658;0,8443;0,4715;0,0106;0,2658;0,3262;0,1321;0,9478;0,3262;0,1321;0,3948
54;0,4154;0,0101;0,9501;0,5729;0,2338;0,1171;0,1881;0,661;0,069;0,661;0,3473;0,2868;0,0519;0,2868;0,0519;0,9501;0,0519;0,8509;0,2868;0,4154;0,0905;0,1494;0,2338;0,0385;0,4907;0,0;0,007;0,0047;0,0;0,0
55;0,1623;0,0566;0,253;0,4461;0,204;0,899;0,7032;0,1623;0,1274;0,4461;0,3096;0,0986;0,899;0,5255;0,204;0,4461;0,1274;0,7995;0,3096;0,1623;0,204;0,0221;0,0986;0,1274;0,6115;0,0;0,0023;0,0;0,0;0,0
56;0,6873;0,6873;0,8933;0,2829;0,7884;0,6873;0,227;0,1397;0,2829;0,1795;0,4207;0,6873;0,1071;0,8933;0,1397;0,5022;0,3475;0,1397;0,7884;0,227;0,7884;0,0601;0,1071;0,0316;0,5022;0,0005;0,1397;0,0031;0,0;0,0001
57;0,846;0,0602;0,9484;0,0078;0,0802;0,56;0,3313;0,56;0,3313;0,1737;0,56;0,7461;0,0602;0,2184;0,1362;0,0233;0,6504;0,0324;0,1737;0,846;0,0324;0,7461;0,6504;0,846;0,4763;0,56;0,3313;0,2709;0,1362;0,56
58;0,7829;0,5816;0,6794;0,7829;0,8904;0,4909;0,3348;0,7829;0,1295;0,6794;0,1681;0,4909;0,4909;0,6794;0,2149;0,4909;0,0981;1,0;0,0981;0,1681;0,0273;0,0273;0,0981;0,0731;0,3348;0,0;0,1681;0,0;0,0;0,0
59;0,3494;0,8937;0,7892;0,2848;1,0;1,0;0,4225;0,0821;0,8937;0,1811;0,3494;0,8937;0,4225;0,2848;0,5929;0,6884;0,5039;0,1085;0,4225;0,1413;0,0611;0,1413;0,5929;0,1811;0,5929;0,0002;0,7892;0,0008;0,0;0,0013
60;0,3736;0,5251;0,8989;0,703;0,2526;0,0983;0,7994;0,703;0,4457;0,7994;0,703;0,6112;0,5251;0,3736;0,8989;0,0075;0,8989;0,703;0,1619;0,0564;0,0109;0,0051;0,4457;0,0305;0,127;0,0009;0,127;0,0001;0,0051;0,0002
61;0,8553;0,5037;0,2016;0,5843;0,1619;0,248;0,3013;0,8553;0,1284;0,5037;0,1619;0,248;0,0088;0,1005;0,0593;0,5843;0,1005;0,0447;0,1284;0,0777;0,0088;0,0019;0,0777;0,0126;0,3618;0,0;0,0447;0,0;0,0;0,0
62;0,6056;0,0705;0,8973;0,1966;0,6056;0,1555;0,3017;0,6056;0,0931;0,6986;0,4386;0,6986;0,3017;0,1966;0,4386;0,7963;0,5187;0,4386;0,3017;0,4386;0,1966;0,2452;0,5187;0,0097;0,2452;0,1555;0,6986;0,1212;0,3662;0,0705
63;0,0475;0,1416;0,3379;0,6548;0,0252;0,6548;0,848;0,4822;0,9491;0,7494;0,5653;0,2247;0,4822;0,7494;0,1796;0,2774;0,3379;0,4062;0,3379;0,7494;0,5653;0,2247;0,6548;0,4062;0,1796;0,0844;0,0004;0,0004;0,0001;0,0
64;0,3962;0,948;0,948;0,1332;0,7442;0,0582;0,0779;0,3962;0,0222;0,948;0,7442;0,0779;0,6478;0,7442;0,557;0,1332;0,7442;0,7442;0,7442;0,1026;0,948;0,0049;0,2149;0,557;0,8448;0,0108;0,7442;0,0033;0,0003;0,0779
65;0,7584;0,2424;0,7584;0,3561;0,1239;0,6668;0,1239;0,7584;0,1963;0,2956;0,1963;0,951;0,0311;0,3561;0,0007;0,0422;0,4239;0,1239;0,0563;0,8536;0,1963;0,8536;0,4239;0,7584;0,1569;0,1239;0,4986;0,3561;0,2956;0,0422
66;0,1655;0,0019;0,0405;0,1655;0,1655;0,0745;0,1655;0,3908;0,322;0,322;0,0987;0,1288;0,0292;0,322;0,0405;0,5525;0,0745;0,843;0,322;0,0554;0,0405;0,0207;0,2097;0,0045;0,6441;0,0;0,0001;0,0;0,0;0,0
67;0,152;0,7332;0,7332;0,1167;0,8379;0,2463;0,9456;0,5395;0,3064;0,9456;0,7332;0,7332;0,3064;0,4532;0,0881;0,0344;0,8379;0,4532;0,8379;0,4532;0,3754;0,5395;0,6332;0,0881;0,6332;0,0169;0,2463;0,0115;0,0001;0,0005
68;0,7414;0,8875;0,8875;0,8875;0,3703;0,6714;0,0161;0,0987;0,9624;0,4794;0,54;0,8875;0,4794;0,54;0,3703;0,6714;0,2781;0,8875;0,6714;0,9624;0,3703;0,2029;0,6714;0,6041;0,3221;0,8875;0,8875;0,8137;0,6041;0,3703
69;0,2372;0,0801;0,1426;0,0419;0,8872;0,4783;0,4216;0,1702;0,9623;0,8872;0,7407;0,369;0,0801;0,6705;0,2768;0,1426;0,2372;0,369;0,7407;0,4216;0,7407;0,8872;0,4216;0,4783;0,6705;0,8872;0,4216;0,2768;0,4783;0,0978
70;0,0938;0,1394;0,7676;1,0;0,5545;0,1677;0,9215;0,4905;0,3245;0,6936;0,5545;0,6224;0,2371;0,6224;0,0233;1,0;0,7676;0,8438;0,8438;0,076;0,6936;0,6936;0,7676;0,0233;1,0;0,0301;0,8438;0,1148;0,0077;0,0005
71;0,5867;0,7294;0,0835;0,2993;0,3477;0,5206;0,7294;0,8048;0,2556;0,2556;0,7294;0,5867;0,5206;0,4585;0,1253;0,9606;0,1027;0,8821;0,5206;0,6565;0,4008;0,7294;0,2993;0,5206;0,5867;0,0537;0,0673;0,0116;0,0018;0,3477
72;0,3136;0,4717;0,9617;0,0757;0,4147;0,6659;0,2303;0,9617;0,4147;0,5328;0,737;0,9617;0,362;0,5977;0,4717;0,5328;0,362;0,0062;0,5977;0,4147;0,1132;0,9617;0,362;0,4717;0,5328;0,5977;0,8104;0,4147;0,737;0,4147
73;0,1485;0,0652;0,1001;0,3972;0,654;0,2956;0,5174;0,8813;0,8813;0,4551;0,7274;0,344;0,8034;0,5174;0,654;0,8034;0,5174;0,344;0,0652;0,8813;0,5839;0,2956;0,8034;0,1001;0,344;0,9603;0,3972;0,0652;0,213;0,2956
74;0,4453;0,3905;0,3905;0,34;0,6334;1,0;0,567;0,4453;0,3905;0,567;0,567;0,6334;0,0219;0,1523;0,2522;0,3905;0,5042;0,6334;0,2522;0,2522;0,0697;0,2939;0,924;0,0562;0,3905;0,1523;0,2939;0,0011;0,0056;0,0008
75;0,6324;0,0443;0,2134;0,3892;0,1803;0,3386;0,1511;0,8483;0,3892;0,3386;0,8483;0,444;0,7741;0,8483;1,0;0,8483;0,1803;0,6324;0,2925;0,1256;0,6324;0,503;0,5659;0,1256;0,7741;0,503;0,9238;0,2134;0,0215;0,0351
76;0,3823;0,0632;0,2748;0,6623;0,19;0,19;0,0804;0,1013;0,1013;0,3823;0,0162;0,0632;0,0378;0,2296;0,0003;0,0288;0,0087;0,0162;0,8271;0,0062;0,5851;1,0;0,19;0,1013;0,6623;0,0;0,0002;0,0002;0,0;0,0
77;0,6597;0,5905;0,1864;0,4631;0,4631;0,1864;0,8833;0,8833;0,4631;0,4631;0,732;0,5248;0,3042;0,5248;0,5248;0,8068;0,1864;0,2604;0,3526;0,8833;0,5905;0,961;0,5248;0,1292;0,3526;0,2604;0,4056;0,3526;0,1063;0,0213
78;0,584;0,9273;0,4653;0,9273;0,1708;0,1206;0,8552;0,2353;0,0356;0,0827;0,7151;0,2733;0,4114;0,5229;0,7842;0,4114;0,9273;0,3614;0,7842;0,584;0,7842;0,7151;0,5229;0,5229;0,8552;0,1708;0,7151;0,7842;0,4114;0,1708
79;0,0582;0,135;0,135;0,0902;0,6903;0,2319;0,0167;0,4255;0,0728;0,0902;0,1108;0,0462;0,3192;0,5501;0,3192;0,4857;0,6903;0,7651;0,4255;0,163;0,7651;0,4857;1,0;0,7651;0,0126;0,0363;0,0126;0,6903;0,001;0,0363
80;0,807;0,3048;0,2218;0,2218;0,087;0,1297;0,1067;0,1563;0,0215;0,0355;0,0028;0,0095;0,1563;0,2218;0,0071;0,0355;0,0355;0,0039;0,0277;0,0565;0,6601;0,3048;0,5909;0,4061;0,0095;0,0165;0,0005;0,1563;0,0028;0,3532
81;0,25;0,6318;0,0843;0,2916;0,1503;0,0684;0,055;0,2126;0,2916;0,0439;1,0;0,103;0,3378;0,2916;0,25;0,2126;0,3378;0,2126;0,7737;0,9236;0,25;0,9236;0,9236;0,9236;0,6318;0,5022;0,7737;0,2916;0,848;0,7014
82;0,7844;0,1005;0,3617;0,2737;0,6484;0,9273;0,1209;0,9273;0,3157;0,8553;0,1444;0,7844;0,3157;0,7153;0,2357;0,1209;0,3157;0,5843;0,5232;0,1209;0,5232;0,1209;0,7153;0,4656;0,6484;0,6484;0,1712;0,4656;0,4118;0,3157
83;0,3408;0,2206;0,7509;0,2968;0,2968;0,9638;0,7509;0,6179;0,0056;0,1343;0,0161;0,0411;0,3408;0,1883;0,0329;0,8206;0,0161;0,0329;0,9638;0,2968;0,2968;0,7509;0,3408;0,4963;0,3408;0,9638;0,0042;0,5555;0,4407;0,4407
84;0,6778;0,1274;0,8174;0,7466;0,2882;0,8174;0,1059;0,0582;0,3803;0,7466;0,6116;0,0036;0,5484;0,8174;0,9632;0,8898;0,8174;0,8174;0,2882;0,8898;0,8898;0,7466;0,2124;0,4886;0,6116;0,2124;0,2882;0,5484;0,8898;0,6778
85;0,6495;0,0487;0,4488;0,2454;0,0005;0,0955;0,2454;0,2067;0,2889;0,8007;0,1429;0,0955;0,2067;0,8007;0,1726;0,8796;0,1173;0,6495;0,3906;0,5786;0,2889;0,6495;0,9597;0,8796;0,0014;0,077;0,0;0,077;0,0;0,0382
86;0,5078;0,1557;0,6362;0,7765;0,023;0,344;0,4491;0,7051;0,7765;1,0;0,7051;0,1557;0,7051;0,5078;0,5078;0,7765;1,0;0,7765;0,8499;0,6362;0,9246;0,7765;0,5078;0,9246;1,0;0,9246;0,2186;1,0;0,2979;0,1557
87;0,0688;0,5658;0,2133;0,9238;0,7019;0,5658;0,774;0,2133;0,389;0,3385;0,0443;0,5658;0,2133;0,7019;0,0351;0,4439;0,0276;0,1801;0,8482;0,5658;0,389;0,9238;0,7019;0,5658;0,9238;0,0001;0,0688;0,0003;0,0;0,0004
88;0,9265;0,268;0,268;0,7819;0,8536;1,0;0,0965;0,4062;0,268;0,356;0,31;0,0793;0,5183;0,356;0,7819;0,8536;0,5798;0,7819;0,5183;0,5183;0,5183;0,8536;0,31;0,356;0,0421;0,0031;0,9265;0,1661;0,0965;0,1661
89;0,7812;0,7111;0,3543;0,7812;0,3083;0,4587;0,9262;0,0204;0,033;0,003;0,4587;0,1947;0,6433;0,9262;0,3083;0,4587;0,1947;0,0953;0,4045;0,7812;0,4045;0,0261;0,9262;0,5168;0,4587;0,2663;0,4045;0,0094;0,5168;0,0261
90;0,13;0,1083;0,0599;0,3355;0,0088;0,0735;0,13;0,13;0,0735;0,0192;0,0067;0,6798;0,2915;0,0599;0,1083;0,1083;0,8906;0,031;0,3355;0,3355;0,614;0,1834;0,4356;0,3836;0,4915;0,5511;0,2915;0,1083;0,8906;0,614
91;0,0149;0,1904;0,0149;0,5748;0,0613;0,0755;0,8517;0,1904;0,2618;0,2241;0,0027;0,0755;0,0115;1,0;0,1606;0,8517;0,1345;0,6402;0,4001;0,5128;0,7084;0,8517;0,7791;0,1606;0,7084;0,0;0,005;0,002;0,0;0,0
92;0,8877;0,2787;0,6717;0,8139;0,7417;0,6045;0,9624;0,7417;0,8877;0,3226;0,6717;0,8139;0,9624;0,8139;0,8139;0,6717;0,1719;0,9624;0,8877;0,9624;0,8877;0,6045;0,8139;0,7417;0,8877;0,3709;0,2787;0,3709;0,3226;0,6045
