;reasons_translation_sentimentCategory;reasons_translation_sadnessCategory;reasons_translation_joyCategory;reasons_translation_fearCategory;reasons_translation_disgustCategory;reasons_translation_angerCategory;emotions_translation_sentimentCategory;emotions_translation_sadnessCategory;emotions_translation_joyCategory;emotions_translation_fearCategory;emotions_translation_disgustCategory;emotions_translation_angerCategory;strengths_translation_sentimentCategory;strengths_translation_sadnessCategory;strengths_translation_joyCategory;strengths_translation_fearCategory;strengths_translation_disgustCategory;strengths_translation_angerCategory;utilization_translation_sentimentCategory;utilization_translation_sadnessCategory;utilization_translation_joyCategory;utilization_translation_fearCategory;utilization_translation_disgustCategory;utilization_translation_angerCategory;story_translation_sentimentCategory;story_translation_sadnessCategory;story_translation_joyCategory;story_translation_fearCategory;story_translation_disgustCategory;story_translation_angerCategory
111;0,0034;0,4728;0,1377;0,5338;0,8858;0,9618;0,0311;0,114;0,0063;0,5338;0,3147;0,1649;0,5338;0,4158;0,9618;0,5985;0,3147;0,114;0,4158;0,4728;0,4728;0,4728;0,5985;0,1961;0,0047;0,8858;0,0002;0,8858;0,0495;0,4158
112;0,0737;0,0001;0,0336;0,0936;0,0253;0,0336;0,0573;0,3146;0,0573;0,0573;0,0051;0,0336;0,3714;0,655;0,5026;0,5764;0,1799;0,9111;0,3146;0,0737;0,1176;0,3714;0,0573;0,0025;0,9111;0,0;0,0025;0,0;0,0;0,0
113;0,8499;0,3943;0,5076;0,0719;0,256;0,6361;0,4489;0,5076;0,0467;0,0719;0,0582;0,256;0,9246;0,1074;0,6361;0,0883;0,3943;0,8499;0,256;0,0009;0,3439;0,7765;0,0467;0,0033;0,1298;0,185;0,0024;0,6361;0,0582;0,8499
114;0,2435;0,0016;0,0356;0,0619;0,0102;0,0195;0,1294;0,1995;0,2939;0,1294;0,0142;0,0195;0,1616;0,3508;0,0266;0,9072;0,2939;0,9072;0,4143;0,0001;0,0142;0,0102;0,0356;0,0;0,5599;0,0;0,0;0,0;0,0;0,0
115;1,0;0,9234;1,0;0,5637;0,5637;0,4414;0,7729;0,0831;0,5637;0,2898;0,0208;0,5006;0,7729;0,1778;0,1235;0,5637;0,3865;0,2481;0,1488;0,3865;0,3865;0,3359;0,7729;0,9234;0,2898;0,8474;1,0;0,6305;0,1488;0,4414
116;0,1143;0,0005;0,0422;0,0422;0,2148;0,0422;0,0711;0,1143;0,1759;0,0422;0,024;0,032;0,1426;0,8216;0,0551;0,652;0,2595;0,0551;0,2148;0,0067;0,0422;0,4988;0,0422;0,0005;0,4988;0,0;0,0094;0,0;0,0;0,0
117;0,0893;0,0001;0,0222;0,0532;0,0058;0,0162;0,3195;0,5982;0,5196;0,0532;0,004;0,0301;0,5196;0,7697;0,178;0,5982;0,4466;0,6819;0,5196;0,0058;0,1431;0,0693;0,0893;0,0058;0,7697;0,0;0,0;0,0;0,0;0,0
118;0,6194;0,0129;0,136;0,2464;0,0235;0,136;0,2464;0,2943;0,4077;0,1675;0,041;0,3481;0,1675;0,2464;0,1093;0,7826;0,6194;0,6993;0,956;0,0312;0,2943;0,7826;0,1675;0,0129;0,4731;0,0;0,0005;0,0007;0,0;0,0
119;0,3791;0,0006;0,0208;0,0366;0,1236;0,187;0,4416;0,0059;0,099;0,0366;0,0082;0,0113;0,0784;0,9125;0,0208;1,0;0,0784;0,5826;0,4416;0,002;0,0615;0,1236;0,0477;0,0009;0,7416;0,0001;0,0009;0,0001;0,0;0,0
120;0,4704;0,0015;0,0518;0,0227;0,0032;0,0168;0,0302;0,1072;0,2914;0,0667;0,0032;0,0398;0,009;0,9557;0,0032;0,3452;0,1337;0,0227;0,8677;0,0123;0,3452;0,5414;0,1337;0,0168;0,6975;0,0;0,0005;0,0;0,0;0,0
