;attribute 1;attribute 2;p-value;correlation
157;72;child;0,0119;0,07561739834104686
158;72;food;0,0489;-0,05923675115402263
159;74;nature;0,0101;-0,07735836001144007
160;74;child;0,0208;0,06948932982182904
161;76;human;0,0;0,16973245071049697
162;76;mobility;0,0001;0,11592762276880628
163;77;human;0,0161;-0,07234128310912936
164;77;food;0,0021;-0,09251073354465265
165;78;human;0,0023;0,09140862976153559
166;78;child;0,0343;-0,06365839752864116
167;78;food;0,035;-0,0634181748720039
168;79;human;0,0001;0,11542004989222751
169;79;mobility;0,0024;0,09136714025640186
170;80;human;0,0;0,12737815438942351
171;80;animal;0,0065;-0,08173548641428455
172;80;mobility;0,004;0,08637271009495039
173;80;food;0,0036;-0,08753101970393529
174;82;food;0,0008;-0,10028887071795212
175;84;mobility;0,0025;0,0907795413193428
176;85;human;0,0;0,1414512566886983
177;85;mobility;0,0001;0,11410670815960076
178;86;human;0,0043;0,08569477686675007
179;86;mobility;0,0066;0,08162318884008748
180;87;child;0,0414;-0,06133906585790032
181;87;food;0,0044;-0,08562392940566775
182;88;mobility;0,0133;0,07439155950655435
183;88;food;0,0105;-0,07687584691244576
184;89;human;0,047;0,059729645837497305
185;89;animal;0,02;-0,06992837837634044
186;89;food;0,0001;-0,12056889205329518
187;90;human;0,0001;0,12148820838535741
188;90;mobility;0,0014;0,09604890043106593
189;90;child;0,0143;-0,07364665039589954
190;90;food;0,0001;-0,11634777652508435
191;91;human;0,0001;-0,11545605775413902
192;91;child;0,0001;-0,1205443577683616
193;91;food;0,0083;-0,07929539709136604
194;92;food;0,0088;-0,07873196727975462
195;95;human;0,0136;0,07415615244849721
196;95;nature;0,0033;-0,08840023188951614
197;95;child;0,0173;0,07157734709722982
198;96;human;0,0315;-0,0646920012697296
199;96;nature;0,0396;0,06188562252778199
200;96;child;0,0171;-0,07172266696305718
201;96;food;0,001;-0,0986445380861121
202;97;animal;0,0055;0,08341809207650297
203;97;food;0,0;-0,134214503545233
204;98;nature;0,0189;0,07058437796838661
205;98;food;0,0075;-0,08031247901493006
206;99;human;0,0;0,17199549688085988
207;99;mobility;0,0001;0,12053811762001526
208;100;mobility;0,0032;0,08849301579063963
209;101;mobility;0,0462;0,05996955728351483
210;102;human;0,0;0,12493074262385935
211;102;animal;0,0352;-0,06333036977950206
212;102;mobility;0,0315;0,06467003487934679
213;103;human;0,0;0,17055519823234683
214;103;mobility;0,0001;0,11558427978484477
215;104;human;0,0301;0,06521680292889881
216;104;child;0,0297;0,06538658500219051
217;105;human;0,0;0,14880094909385877
218;105;mobility;0,0162;0,07226750823311565
219;105;food;0,0222;-0,06875990472907192
220;106;food;0,0011;-0,09825349793545356
221;107;human;0,0;0,133318170251007
222;107;nature;0,0;-0,1270283943084535
223;107;mobility;0,0344;0,0636197607838706
224;107;child;0,0;0,18242686200790623
225;108;human;0,0;0,13753078502245744
226;108;mobility;0,0135;0,07423362816137885
227;108;child;0,0001;0,11469094119413288
228;109;human;0,0011;0,0976407075373249
229;109;child;0,0;0,1395603523558523
230;110;food;0,0164;-0,07218043338240923
231;111;human;0,0015;0,09530198991161255
232;111;child;0,0005;0,10423767023827801
233;112;human;0,0;0,14514065668516304
234;112;mobility;0,0035;0,0878638867242212
235;113;human;0,0317;0,064590504025782
236;113;mobility;0,0018;0,09362450332183865
237;114;human;0,0;0,14660603918795737
238;114;mobility;0,0;0,1238580316206658
239;114;child;0,0171;0,07165997272220244
240;115;food;0,005;-0,08438710498387117
241;116;human;0,0082;0,07950236378108368
242;116;mobility;0,0121;0,07542532253653615
243;117;human;0,0;0,12403738449859913
244;117;mobility;0,0;0,138811859792563
245;117;child;0,047;0,05974142431061174
246;118;human;0,0021;0,0922032633727838
247;119;child;0,0067;0,08146469335083886
248;120;human;0,0;0,17169182426443355
249;120;mobility;0,0002;0,110790467978858
250;121;mobility;0,0065;0,0818434810726472
251;121;food;0,0486;0,059314700159915676
252;122;human;0,0102;0,07719307686979564
253;122;mobility;0,0153;0,0729396691686391
254;122;child;0,0038;0,08705999588149795
255;123;mobility;0,0343;0,0636366865871131
256;123;food;0,0027;0,09013106124711805
257;124;food;0,0295;0,06543851886279466
258;125;mobility;0,0123;0,07529174152805863
259;127;nature;0,0448;-0,06034962630067778
260;127;mobility;0,0344;0,06361066826186762
261;128;nature;0,0263;-0,06678807040699866
262;129;mobility;0,0159;0,07248456884793845
263;129;food;0,0084;0,07920119665827563
264;130;food;0,0338;-0,06383902232051376
265;132;mobility;0,0065;-0,0817384623197255
266;133;child;0,006;0,08259852182384617
267;134;human;0,013;-0,07470557108491187
268;135;food;0,0225;-0,06862368224398639
269;136;human;0,0;0,15869962296996568
270;136;animal;0,016;-0,07241807462221941
271;136;mobility;0,0056;0,08324974451438441
272;137;human;0,0211;0,06934276613177245
273;138;mobility;0,0384;0,062273914564514594
274;138;food;0,0006;-0,10316854902807109
275;140;child;0,0373;0,06263794462640682
276;141;food;0,0004;-0,1062673542438419
277;142;animal;0,0124;0,07520223535895851
278;142;food;0,009;-0,07852998832520859
279;143;human;0,0135;0,0742314516782999
280;143;animal;0,0416;0,06127292824800194
281;143;mobility;0,0309;0,06492057871634385
282;144;human;0,0026;0,09048692840395697
283;145;human;0,0369;-0,06276629043667782
284;146;animal;0,011;0,07644931179725976
285;146;food;0,0031;-0,08872590194659576
