;registration_age;job_status_edu_parttime;job_status_edu_fulltime;job_status_employed_parttime;job_status_employed_fulltime;job_status_selfemployed;job_status_houskeeping;job_status_unemployed;gender_f;gender_m;registration_ageKat_10-19;registration_ageKat_20-29;registration_ageKat_30-39;registration_ageKat_40-49;registration_ageKat_50-59;country_AT;country_CH;country_DE;country_IT;work_country_CH;work_country_DE;work_district_AG;work_district_BE;work_district_BL;work_district_BS;work_district_GR;work_district_HE;work_district_LU;work_district_NI;work_district_NW;work_district_SG;work_district_SO;work_district_TG;work_district_ZG;work_district_ZH;job_position_Fachspezialist/-in;job_position_Sachbearbeiter/-in;job_position_mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);job_position_obere Führungsstufe (z.B. Geschäftsleitung / CEO);job_position_untere Führungsstufe (z.B. Teamleitung);job_sector_Baugewerbe/Bau;job_sector_Energieversorgung;job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen;job_sector_Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;job_sector_Erbringung von sonstigen Dienstleistungen;job_sector_Erbringung von sonstigen wirtschaftlichen Dienstleistungen;job_sector_Erziehung und Unterricht;job_sector_Gastgewerbe/Beherbergung und Gastronomie;job_sector_Gesundheits- und Sozialwesen;"job_sector_Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";job_sector_Information und Kommunikation;job_sector_Kunst, Unterhaltung und Erholung;job_sector_Verarbeitendes Gewerbe/Herstellung von Waren;job_sector_Verkehr und Lagerei;"job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung";company_size_1.0;company_size_249.0;company_size_250.0;company_size_49.0;company_size_9.0;educational_achievement_2- bis 3-jährige Diplommittelschule, Verkehrsschule, Fachmittelschule FMS;educational_achievement_Bachelor;educational_achievement_Berufliche Grundbildung;educational_achievement_Berufs- oder Fachmaturität;educational_achievement_Doktorat, Habilitation;educational_achievement_Gymnasiale Maturität, Lehrkräfte-Seminar;educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik;educational_achievement_Höhere Fachschule lusive Nachdiplome;educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom;educational_achievement_obligatorische Schule
strengths_translation_joyCategory;0,1347;0,7341;0,1007;0,2636;0,2743;0,2443;0,0066;0,5824;0,3097;0,4113;0,3339;0,3302;0,3529;0,0984;0,6787;0,1709;0,6652;0,8058;0,5253;0,6908;0,8173;0,6745;0,3763;0,6023;0,2026;0,9253;0,6023;0,0565;0,4567;0,7697;0,286;0,2026;0,4199;0,0056;0,4603;0,478;0,5759;0,252;0,7993;0,6466;0,4442;0,0519;0,9325;0,3365;0,0449;0,0021;0,1359;0,0138;0,8263;0,3488;0,5;0,4199;0,5428;0,536;0,2069;0,6388;0,8613;0,5382;0,5731;0,7039;0,3339;0,0702;0,3522;0,412;0,4692;0,3785;0,008;0,0592;0,5914;0,1709
strengths_translation_fearCategory;0,7996;0,1653;0,589;0,0037;0,0187;0,071;0,3727;0,4076;0,7078;0,8602;0,3241;0,7571;0,6858;0,9559;0,7512;0,9857;0,1012;0,2344;0,5486;0,0764;0,172;0,0847;0,5612;0,5783;0,0263;0,4542;0,5783;0,1396;0,0499;0,6789;0,0584;0,6742;0,1436;0,0047;0,455;0,0125;0,4797;0,0598;0,1851;0,1592;0,3911;0,9798;0,5775;0,2994;0,1237;0,4652;0,3899;0,2949;0,9926;0,3285;0,0806;0,1645;0,152;0,4988;0,0858;0,2245;0,1133;0,7141;0,9089;0,5433;0,3241;0,1318;0,1626;0,061;0,8143;0,4266;0,4228;0,0371;0,4774;0,1518
strengths_translation_disgustCategory;0,1701;0,2331;0,4725;0,2085;0,1656;0,2559;0,0021;0,9783;0,2745;0,1976;0,3363;0,645;0,3131;0,7861;0,217;0,1731;0,7088;0,3811;0,5195;0,0496;0,062;0,996;0,9362;0,5195;0,0303;0,5455;0,0946;0,3875;0,1612;0,2979;0,5275;0,2066;0,4115;0,0059;0,6638;0,0082;0,7406;0,1381;0,5406;0,1638;0,0968;0,9393;0,4186;0,1371;0,2848;0,008;0,7337;0,0718;0,6055;0,3539;0,3018;0,5455;0,7764;0,1873;0,5358;0,4725;0,6289;0,9149;0,4712;0,9536;0,3363;0,4514;0,3701;0,8693;0,4806;0,367;0,4601;0,0034;0,1198;0,1415
strengths_translation_angerCategory;0,0861;0,1467;0,3079;0,1622;0,504;0,2679;0,2679;0,0632;0,7056;0,7118;0,2971;0,4343;0,3779;0,3884;0,3626;0,1395;0,402;0,1326;0,6145;0,8659;0,9865;0,9743;0,7745;0,6145;0,2106;0,121;0,6145;0,0038;0,2536;0,2086;0,2653;0,2106;0,9023;0,1921;0,1809;0,0321;0,7074;0,2208;0,5328;0,0892;0,4721;0,3591;0,6443;0,1422;0,8909;0,0075;0,663;0,254;0,1026;0,3591;0,1389;0,9023;0,7942;0,9023;0,5306;0,3079;0,7993;0,8402;0,3567;0,9287;0,3388;0,2278;0,8389;0,8521;0,9013;0,6684;0,4343;0,7045;0,6415;0,1395
utilization_translation_sentimentCategory;0,6905;0,4894;0,9646;0,9402;0,7807;0,3017;0,156;0,9257;0,5271;0,4052;0,3241;0,8057;0,9938;0,548;0,8058;0,9857;0,7066;0,703;0,5486;0,1427;0,0918;0,5972;0,0801;0,5783;0,6742;0,4542;0,5486;0,6474;0,9678;0,2399;0,6894;0,6742;0,9712;0,1645;0,6474;0,5942;0,23;0,9222;0,2313;0,2436;0,0757;0,9798;0,3858;0,2994;0,9415;0,5409;0,2173;0,708;0,9926;0,3285;0,6285;0,9712;0,6062;0,4542;0,4845;0,589;0,8041;0,1698;0,2242;0,421;0,3241;0,4516;0,8027;0,3089;0,0434;0,4911;0,8057;0,5612;0,8758;0,9857
utilization_translation_sadnessCategory;0,5839;0,4992;0,6262;0,0676;0,2283;0,0227;0,4637;0,4123;0,6135;0,7655;0,3314;0,3104;0,5203;0,8002;0,6365;0,9686;0,1993;0,2914;0,5311;0,2025;0,4044;0,6548;0,6312;0,0741;0,1987;0,9368;0,5311;0,5336;0,4666;0,6495;0,5583;0,6992;0,9368;0,5266;0,8116;0,5483;0,397;0,6088;0,5751;0,4356;0,4305;0,9555;0,7933;0,5165;0,9746;0,723;0,2518;0,0769;0,1647;0,0508;0,7797;0,4283;0,7412;0,5266;0,4867;0,9222;0,8937;0,7768;0,9887;0,7206;0,3314;0,547;0,4955;0,7184;0,7016;0,106;0,352;0,6045;0,8645;0,9686
utilization_translation_joyCategory;0,3337;0,6307;0,116;0,5374;0,2096;0,7788;0,5053;0,4839;0,8742;0,7266;0,2922;0,7552;0,9933;0,8845;0,5861;0,94;0,3215;0,2526;0,5022;0,952;0,7909;0,4779;0,7233;0,6267;0,0329;0,3869;0,6267;0,4675;0,2671;0,3168;0,2457;0,7415;0,202;0,8795;0,597;0,4569;0,1995;0,6813;0,879;0,6006;0,0401;0,3697;0,5872;0,3762;0,2396;0,6356;0,3851;0,6187;0,5838;0,3697;0,7885;0,5744;0,1051;0,202;0,6136;0,3249;0,9193;0,5385;0,3107;0,0484;0,3437;0,2688;0,13;0,8177;0,5156;0,6038;0,5553;0,7233;0,9601;0,1797
utilization_translation_fearCategory;0,9467;0,6646;0,9504;0,0232;0,1615;0,1021;0,6325;0,272;0,0898;0,0888;0,3265;0,991;0,7332;0,319;0,5778;0,1645;0,1113;0,2346;0,088;0,7762;0,6576;0,9174;0,83;0,088;0,1653;0,9597;0,5427;0,9425;0,9549;0,6691;0,404;0,1653;0,508;0,4455;0,3361;0,1521;0,3497;0,8729;0,6105;0,2636;0,9354;0,0484;0,7764;0,3084;0,7766;0,5567;0,7726;0,6967;0,7596;0,2991;0,9288;0,9597;0,1454;0,9597;0,4402;0,2178;0,768;0,7404;0,5239;0,7749;0,3093;0,581;0,0905;0,5769;0,1794;0,7477;0,3984;0,4334;0,6015;0,98
utilization_translation_disgustCategory;0,6954;0,0017;0,1685;0,3327;0,253;0,3662;0,8006;0,9027;0,29;0,295;0,2897;0,7227;0,3445;0,9938;0,5318;0,9343;0,0659;0,1845;0,0656;0,0342;0,0443;0,1386;0,7808;0,4965;0,0338;0,207;0,6329;0,8123;0,4087;0,1939;0,4682;0,223;0,5842;0,868;0,5306;0,0964;0,8139;0,8786;0,8992;0,0648;0,5157;0,907;0,3308;0,4441;0,8083;0,6906;0,5505;0,0623;0,0875;0,907;0,1192;0,868;0,1167;0,0478;0,4418;0,3336;0,1446;0,3739;0,7943;0,8649;0,3461;0,191;0,9196;0,4626;0,6207;0,6187;0,4486;0,4708;0,2698;0,9343
utilization_translation_angerCategory;0,8184;0,8298;0,6262;0,936;0,6918;0,2635;0,0493;0,9189;0,9208;0,7589;0,3044;0,352;0,8554;0,2891;0,9279;0,9686;0,0107;0,0621;0,0741;0,2025;0,4044;0,6548;0,4162;0,5311;0,1987;0,4283;0,5311;0,1003;0,5823;0,2239;0,7412;0,1987;0,132;0,5266;0,8704;0,1074;0,2889;0,8298;0,3265;0,791;0,4305;0,2897;0,9618;0,5165;0,1862;0,0593;0,7281;0,801;0,3681;0,0508;0,5751;0,132;0,8986;0,9368;0,0119;0,9222;0,3617;0,9343;0,2809;0,9964;0,3314;0,1078;0,312;0,904;0,458;0,5321;0,7078;0,2517;0,0745;0,9686
story_translation_sentimentCategory;0,3811;0,0919;0,9646;0,5757;0,351;0,9031;0,156;0,8307;0,2158;0,1502;0,3118;0,8057;0,4049;0,8703;0,5979;0,9857;0,5275;0,3351;0,5486;0,2458;0,172;0,0336;0,0801;0,5783;0,6333;0,9712;0,5486;0,3337;0,497;0,6789;0,3302;0,6333;0,9712;0,4542;0,9554;0,7404;0,8713;0,4894;0,4375;0,6937;0,1881;0,3285;0,2389;0,2994;0,9415;0,7772;0,3899;0,2949;0,2183;0,9798;0,3659;0,9712;0,3911;0,9712;0,266;0,2604;0,8041;0,7141;0,8797;0,9217;0,3241;0,2094;0,3638;0,9563;0,8143;0,8462;0,8057;0,4535;0,9519;0,9857
story_translation_sadnessCategory;0,0779;0,3504;0,9081;0,1835;0,0889;0,1253;0,6939;0,5824;0,108;0,1617;0,302;0,2113;0,2563;0,1572;0,6787;0,9629;0,1823;0,5746;0,0727;0,1056;0,1312;0,2238;0,9095;0,5253;0,6011;0,9253;0,5253;0,3764;0,4567;0,2187;0,8802;0,7076;0,4199;0,9253;0,7365;0,6114;0,422;0,3964;0,7993;0,4076;0,286;0,3488;0,9325;0,2256;0,368;0,7052;0,062;0,6629;0,9803;0,3488;0,8682;0,4199;0,7587;0,1283;0,9573;0,6388;0,9309;0,232;0,617;0,3014;0,3339;0,5809;0,4741;0,1927;0,1979;0,0364;0,8887;0,2231;0,2308;0,9629
story_translation_joyCategory;0,333;0,4139;0,3163;0,8743;0,9609;0,2802;0,6447;0,7227;0,2822;0,2044;0,2946;0,4094;0,4899;0,1065;0,0455;0,9457;0,0399;0,0231;0,5079;0,3113;0,3474;0,9526;0,7488;0,5079;0,5773;0,8909;0,098;0,754;0,0771;0,6109;0,1102;0,733;0,8909;0,0224;0,9773;0,1;0,6748;0,1183;0,5072;0,9548;0,1064;0,0556;0,0952;0,8549;0,6208;0,6528;0,9269;0,2476;0,534;0,9231;0,1321;0,5647;0,8256;0,8909;0,9512;0,112;0,9567;0,6112;0,6635;0,5578;0,3412;0,92;0,8728;0,4503;0,0722;0,5892;0,4094;0,5135;0,7518;0,1775
story_translation_fearCategory;0,2981;0,0035;0,3514;0,0052;0,0341;0,1757;0,0828;0,1792;0,1663;0,1617;0,351;0,6937;0,0898;0,7535;0,2055;0,1864;0,018;0,121;0,105;0,075;0,0784;0,1721;0,122;0,6452;0,5462;0,604;0,4852;0,7803;0,0883;0,0843;0,2877;0,5462;0,604;0,8453;0,2197;0,3441;0,6208;0,5971;0,3587;0,5242;0,1277;0,3857;0,3344;0,4078;0,1081;0,5852;0,5598;0,5862;0,9211;0,3857;0,3587;0,8453;0,5459;0,8453;0,4883;0,8101;0,5871;0,8969;0,5358;0,6445;0,2848;0,421;0,7172;0,0807;0,975;0,3022;0,6937;0,2255;0,474;0,9229
story_translation_disgustCategory;0,2687;0,0083;0,6388;0,0228;0,0002;0,6939;0,2515;0,9485;0,0425;0,0667;0,3339;0,6762;0,0789;0,0058;0,2076;0,9629;0,0066;0,0327;0,0929;0,0187;0,008;0,0487;0,9095;0,6023;0,02;0,9253;0,5253;0,7076;0,0695;0,2918;0,032;0,1549;0,536;0,536;0,1796;0,0343;0,282;0,9658;0,8682;0,0805;0,4442;0,9474;0,5924;0,3365;0,1746;0,9449;0,7118;0,6629;0,6078;0,285;0,8682;0,536;0,8802;0,4199;0,394;0,0609;0,0547;0,232;0,7661;0,3014;0,302;0,145;0,2076;0,1121;0,0362;0,5461;0,8904;0,4358;0,2349;0,9629
story_translation_angerCategory;0,1664;0,1262;0,9081;0,953;0,1951;0,7069;0,1211;0,7101;0,317;0,4278;0,3339;0,8904;0,2563;0,232;0,8816;0,9629;0,1823;0,2713;0,0727;0,0543;0,0673;0,6745;0,3763;0,5253;0,7076;0,1283;0,0727;0,52;0,9163;0,0461;0,5428;0,2026;0,1283;0,4199;0,0072;0,3667;0,7965;0,3504;0,5577;0,6466;0,8802;0,9474;0,2476;0,5041;0,1219;0,4088;0,4575;0,8129;0,6428;0,0519;0,1532;0,1283;0,4442;0,4199;0,394;0,2915;0,6627;0,4281;0,4435;0,7441;0,3339;0,0702;0,4741;0,412;0,0639;0,0364;0,6762;0,2231;0,0385;0,9629
